Name,URL,TH_Description,EN_Description,metadata,Type,id
KING STUDIO Minimalist Wide-Leg Trousers – Dark Olive,https://drive.google.com/uc?export=download&id=12855BseKG12gvBl3fNktnM2m4dtB-U0H,"กางเกงทรงหลวมขากระบอก สีเขียวเข้ม สไตล์มินิมอล จาก KING STUDIO

กางเกงขายาวทรงหลวมที่ออกแบบมาเพื่อความเรียบง่ายและความสบายในการสวมใส่ ด้วยโทนสีเขียวเข้มที่คลาสสิก สามารถจับคู่กับเสื้อได้หลากหลายสไตล์ ทั้งแบบทางการและลำลอง ตัวกางเกงมีทรงกระบอกตรง ช่วยเพิ่มความโปร่งสบายขณะสวมใส่ และดีเทลกระเป๋าข้างเพื่อการใช้งานที่สะดวก

วัสดุ: ผ้าโพลีเอสเตอร์ผสมคอตตอน ให้สัมผัสเบาและไม่ยับง่าย

สี: เขียวเข้ม (Dark Olive)

ทรง: ทรงหลวม (Relaxed Fit) ขากระบอกตรง

เอว: เอวยางยืดด้านหลัง เพิ่มความยืดหยุ่น

ดีเทล: กระเป๋าข้าง 2 ข้าง / กระเป๋าหลัง 1 ใบ

สไตล์: มินิมอล เรียบง่าย ใส่ง่ายทุกวัน

เหมาะสำหรับ: ใส่เที่ยว เดินเล่น ทำงาน หรือสไตล์ Smart Casual

คำแนะนำในการดูแล: ซักเครื่องในน้ำเย็น หลีกเลี่ยงการใช้สารฟอกขาว และควรรีดด้วยไฟอ่อน","KING STUDIO Minimalist Wide-Leg Trousers – Dark Olive

Elevate your everyday look with these relaxed-fit, wide-leg trousers from KING STUDIO. Designed with a timeless minimalist aesthetic, the dark olive color adds a touch of sophistication while maintaining versatility. The trousers feature a comfortable straight-leg cut and practical side pockets, making them ideal for both casual and semi-formal settings.

Material: Polyester-cotton blend – lightweight and wrinkle-resistant

Color: Dark olive

Fit: Relaxed fit with straight wide legs

Waist: Elastic waistband at the back for added comfort

Details: Two side pockets / One back pocket

Style: Minimalist, easy-to-match, and everyday-friendly

Ideal for: Casual outings, city walks, office wear, or smart casual looks

Care Instructions: Machine wash cold. Do not bleach. Iron on low heat if necessary.","{
  ""product_name"": ""KING STUDIO Minimalist Wide-Leg Trousers – Dark Olive"",
  ""brand"": ""KING STUDIO"",
  ""category"": ""Men's Clothing"",
  ""type"": ""Pants"",
  ""pants_type"": ""Trousers"",
  ""style"": ""Minimalist"",
  ""color"": ""Dark Olive"",
  ""material"": ""Polyester-cotton blend"",
  ""features"": {
    ""fit"": ""Relaxed fit"",
    ""leg_style"": ""Straight wide leg"",
    ""waist"": ""Elastic waistband at the back"",
    ""pockets"": {
      ""side"": 2,
      ""back"": 1
    },
    ""wrinkle_resistant"": true,
    ""lightweight"": true
  },
  ""ideal_for"": [
    ""Casual outings"",
    ""City walks"",
    ""Office wear"",
    ""Smart casual looks""
  ],
  ""care_instructions"": [
    ""Machine wash cold"",
    ""Do not bleach"",
    ""Iron on low heat if necessary""
  ],
  ""description"": ""Elevate your everyday look with these relaxed-fit, wide-leg trousers from KING STUDIO. Designed with a timeless minimalist aesthetic, the dark olive color adds a touch of sophistication while maintaining versatility. The trousers feature a comfortable straight-leg cut and practical side pockets, making them ideal for both casual and semi-formal settings.""
}",Pants,0
URBAN EDGE Streetwear Cargo Pants – Black,https://drive.google.com/uc?export=download&id=11eliBGBJo_cKaxDf3lj3JzZlUd7Nnjm4,"กางเกงคาร์โก้ทรงหลวม สีดำ สไตล์สตรีท จาก URBAN EDGE

กางเกงคาร์โก้ขายาวทรงหลวมที่ออกแบบมาเพื่อความสะดวกสบายและสไตล์ที่โดดเด่น ด้วยสีดำที่คลาสสิกและดีเทลกระเป๋าหลายใบ เพิ่มความเท่และการใช้งานที่หลากหลาย เหมาะสำหรับการสวมใส่ในชีวิตประจำวันหรือกิจกรรมกลางแจ้ง

วัสดุ: ผ้าเดนิม ให้ความทนทานและสวมใส่สบาย

สี: ดำ

ทรง: ทรงหลวม (Relaxed Fit) ขากระบอก

เอว: เอวปกติ พร้อมกระดุมและซิป

ดีเทล: กระเป๋าข้าง 4 ข้าง / กระเป๋าหลัง 2 ใบ

สไตล์: สตรีทแวร์ เท่และทันสมัย

เหมาะสำหรับ: ใส่เที่ยว เดินเล่น หรือกิจกรรมกลางแจ้ง

คำแนะนำในการดูแล: ซักเครื่องในน้ำเย็น หลีกเลี่ยงการใช้สารฟอกขาว และควรรีดด้วยไฟอ่อน","URBAN EDGE Streetwear Cargo Pants – Black

Enhance your street style with these relaxed-fit cargo pants from URBAN EDGE. Featuring a classic black color and multiple pocket details, these pants offer both style and functionality. Perfect for daily wear or outdoor activities.

Material: Denim – durable and comfortable

Color: Black

Fit: Relaxed fit with straight legs

Waist: Regular waist with button and zip closure

Details: Four side pockets / Two back pockets

Style: Streetwear, cool and modern

Ideal for: Casual outings, city walks, or outdoor activities

Care Instructions: Machine wash cold. Do not bleach. Iron on low heat if necessary.","{""product_name"": ""URBAN EDGE Streetwear Cargo Pants – Black"", ""brand"": ""URBAN EDGE"", ""category"": ""Men's Clothing"", ""type"": ""Pants"", ""pants_type"": ""Cargo Pants"", ""style"": ""Streetwear"", ""color"": ""Black"", ""material"": ""Denim"", ""features"": {""fit"": ""Relaxed fit"", ""leg_style"": ""Straight"", ""waist"": ""Button and zip closure"", ""pockets"": {""side"": 4, ""back"": 2}, ""wrinkle_resistant"": false, ""lightweight"": false}, ""ideal_for"": [""Casual outings"", ""City walks"", ""Outdoor activities""], ""care_instructions"": [""Machine wash cold"", ""Do not bleach"", ""Iron on low heat if necessary""], ""description"": ""Enhance your street style with these relaxed-fit cargo pants from URBAN EDGE. Featuring a classic black color and multiple pocket details, these pants offer both style and functionality.""}",Pants,1
High School Relaxed Fit Black Shorts,https://drive.google.com/uc?export=download&id=1sp2XoByLaJJHcjdR46qePS5cg9oSrCYH,"กางเกงขาสั้นทรงหลวม สีดำ จาก High School

กางเกงขาสั้นทรงหลวมที่ออกแบบมาเพื่อความสบายและสไตล์ที่โดดเด่น ด้วยสีดำที่มีดีเทลการฟอกสีที่ทันสมัย สามารถจับคู่กับเสื้อผ้าได้หลากหลายสไตล์ เหมาะสำหรับการสวมใส่ในวันสบายๆ หรือการเดินเล่นในเมือง

วัสดุ: ผ้าเดนิมคุณภาพสูง ให้สัมผัสทนทานและสวมใส่สบาย

สี: ดำ

ทรง: ทรงหลวม (Relaxed Fit) ขากว้าง

เอว: เอวปกติพร้อมกระดุมและซิป

ดีเทล: กระเป๋าข้าง 2 ข้าง / กระเป๋าหลัง 2 ใบ

สไตล์: สตรีทแวร์ ทันสมัย

เหมาะสำหรับ: ใส่เที่ยว เดินเล่น หรือสไตล์ลำลอง

คำแนะนำในการดูแล: ซักเครื่องในน้ำเย็น หลีกเลี่ยงการใช้สารฟอกขาว และควรรีดด้วยไฟอ่อน","High School Relaxed Fit Black Shorts

These relaxed-fit black shorts from High School are designed for comfort and standout style. Featuring a modern washed detail, they pair effortlessly with various tops, making them perfect for casual days or city strolls.

Material: High-quality denim for durability and comfort

Color: Black

Fit: Relaxed fit with wide legs

Waist: Standard waist with button and zip closure

Details: Two side pockets / Two back pockets

Style: Streetwear, modern

Ideal for: Casual outings, city walks, or laid-back style

Care Instructions: Machine wash cold. Do not bleach. Iron on low heat if necessary.","{""product_name"": ""High School Relaxed Fit Black Shorts"", ""brand"": ""High School"", ""category"": ""Men's Clothing"", ""type"": ""Pants"", ""pants_type"": ""Shorts"", ""style"": ""Streetwear"", ""color"": ""Black"", ""material"": ""High-quality denim"", ""features"": {""fit"": ""Relaxed fit"", ""leg_style"": ""Wide-leg"", ""waist"": ""Button and zip closure"", ""pockets"": {""side"": 2, ""back"": 2}, ""wrinkle_resistant"": false, ""lightweight"": false}, ""ideal_for"": [""Casual outings"", ""City walks"", ""Laid-back style""], ""care_instructions"": [""Machine wash cold"", ""Do not bleach"", ""Iron on low heat if necessary""], ""description"": ""High School Relaxed Fit Black Shorts with modern washed detail, perfect for casual days or city strolls.""}",Pants,2
High School Relaxed Fit Denim Shorts – Blue,https://drive.google.com/uc?export=download&id=1SDzbppwZD80hR0qyVwR3YTEI7WxrTAjO,"กางเกงยีนส์ขาสั้นทรงหลวม สีฟ้า จาก High School

กางเกงยีนส์ขาสั้นที่ออกแบบมาเพื่อความสบายและสไตล์ที่โดดเด่น ด้วยสีฟ้าที่สดใสและทรงหลวมที่ให้ความรู้สึกผ่อนคลาย สามารถจับคู่กับเสื้อได้หลากหลายสไตล์ เหมาะสำหรับการสวมใส่ในวันหยุดหรือกิจกรรมกลางแจ้ง

วัสดุ: ผ้ายีนส์คุณภาพสูง ให้ความทนทานและสวมใส่สบาย

สี: ฟ้า

ทรง: ทรงหลวม (Relaxed Fit) ขากว้าง

เอว: เอวปกติ พร้อมกระดุมและซิป

ดีเทล: กระเป๋าข้าง 2 ข้าง / กระเป๋าหลัง 2 ใบ

สไตล์: ลำลองและทันสมัย

เหมาะสำหรับ: ใส่เที่ยว เดินเล่น หรือกิจกรรมกลางแจ้ง

คำแนะนำในการดูแล: ซักเครื่องในน้ำเย็น หลีกเลี่ยงการใช้สารฟอกขาว และควรตากให้แห้งในที่ร่ม","High School Relaxed Fit Denim Shorts – Blue

These relaxed-fit denim shorts from High School are designed for comfort and standout style. Featuring a vibrant blue color and a loose fit, they provide a relaxed feel and can be easily paired with various tops. Perfect for casual outings or outdoor activities.

Material: High-quality denim for durability and comfort

Color: Blue

Fit: Relaxed fit with wide legs

Waist: Regular waist with button and zip closure

Details: Two side pockets / Two back pockets

Style: Casual and trendy

Ideal for: Casual outings, walks, or outdoor activities

Care Instructions: Machine wash cold. Do not bleach. Dry in the shade.","{""product_name"": ""High School Relaxed Fit Denim Shorts – Blue"", ""brand"": ""High School"", ""category"": ""Men's Clothing"", ""type"": ""Pants"", ""pants_type"": ""Shorts"", ""style"": ""Casual"", ""color"": ""Blue"", ""material"": ""High-quality denim"", ""features"": {""fit"": ""Relaxed fit"", ""leg_style"": ""Wide-leg"", ""waist"": ""Button and zip closure"", ""pockets"": {""side"": 2, ""back"": 2}, ""wrinkle_resistant"": false, ""lightweight"": false}, ""ideal_for"": [""Casual outings"", ""Walks"", ""Outdoor activities""], ""care_instructions"": [""Machine wash cold"", ""Do not bleach"", ""Dry in the shade""], ""description"": ""Relaxed-fit denim shorts in blue, perfect for casual outings and outdoor activities.""}",Pants,3
URBAN EDGE Streetwear Wide-Leg Jeans – Light Blue,https://drive.google.com/uc?export=download&id=1ny8HiHLaCEbixJmEeZn8rEEvs9DeAq1f,"กางเกงยีนส์ทรงหลวมขากว้าง สีฟ้าอ่อน สไตล์สตรีทแวร์ จาก URBAN EDGE

กางเกงยีนส์ทรงหลวมที่ออกแบบมาเพื่อความสบายและความเท่ในทุกวัน ด้วยโทนสีฟ้าอ่อนที่สดใส สามารถจับคู่กับเสื้อได้หลากหลายสไตล์ ทั้งลำลองและสตรีท ตัวกางเกงมีทรงขากว้าง ช่วยเพิ่มความสบายขณะสวมใส่ และดีเทลกระเป๋าข้างเพื่อการใช้งานที่สะดวก

วัสดุ: ผ้ายีนส์ ให้สัมผัสทนทานและสวมใส่สบาย

สี: ฟ้าอ่อน

ทรง: ทรงหลวม (Relaxed Fit) ขากว้าง

เอว: เอวยางยืด เพิ่มความยืดหยุ่น

ดีเทล: กระเป๋าข้าง 2 ข้าง / กระเป๋าหลัง 1 ใบ

สไตล์: สตรีทแวร์ เท่ห์ ใส่ง่ายทุกวัน

เหมาะสำหรับ: ใส่เที่ยว เดินเล่น หรือสไตล์ลำลอง

คำแนะนำในการดูแล: ซักเครื่องในน้ำเย็น หลีกเลี่ยงการใช้สารฟอกขาว และควรรีดด้วยไฟอ่อน","URBAN EDGE Streetwear Wide-Leg Jeans – Light Blue

Step up your casual look with these relaxed-fit, wide-leg jeans from URBAN EDGE. Designed with a vibrant light blue hue, these jeans offer a stylish and versatile option for both casual and streetwear outfits. The wide-leg cut ensures comfort, while the practical side pockets add functionality.

Material: Denim – durable and comfortable

Color: Light blue

Fit: Relaxed fit with wide legs

Waist: Elastic waistband for added flexibility

Details: Two side pockets / One back pocket

Style: Streetwear, stylish, and everyday-friendly

Ideal for: Casual outings, city walks, or laid-back styles

Care Instructions: Machine wash cold. Do not bleach. Iron on low heat if necessary.","{""product_name"": ""URBAN EDGE Streetwear Wide-Leg Jeans – Light Blue"", ""brand"": ""URBAN EDGE"", ""category"": ""Men's Clothing"", ""type"": ""Pants"", ""pants_type"": ""Jeans"", ""style"": ""Streetwear"", ""color"": ""Light Blue"", ""material"": ""Denim"", ""features"": {""fit"": ""Relaxed fit"", ""leg_style"": ""Wide-leg"", ""waist"": ""Elastic waistband"", ""pockets"": {""side"": 2, ""back"": 1}, ""wrinkle_resistant"": false, ""lightweight"": false}, ""ideal_for"": [""Casual outings"", ""City walks"", ""Laid-back styles""], ""care_instructions"": [""Machine wash cold"", ""Do not bleach"", ""Iron on low heat if necessary""], ""description"": ""Step up your casual look with these relaxed-fit, wide-leg jeans from URBAN EDGE. Designed with a vibrant light blue hue, these jeans offer a stylish and versatile option for both casual and streetwear outfits.""}",Pants,4
URBAN CLASSICS Wide-Leg Relaxed Trousers – Chocolate,https://drive.google.com/uc?export=download&id=124FlJK5KnL_At5jaW1FiVfJSlVL9sjqo,"กางเกงทรงหลวมขากว้าง สีช็อกโกแลต สไตล์เรียบหรู จาก URBAN CLASSICS

กางเกงขายาวทรงหลวมที่ออกแบบมาเพื่อความสะดวกสบายและสไตล์ที่ทันสมัย ด้วยสีช็อกโกแลตที่อบอุ่นและหรูหรา สามารถจับคู่กับเสื้อผ้าได้หลากหลายสไตล์ กางเกงมีขากว้างที่ช่วยเพิ่มความโปร่งสบายขณะสวมใส่ และดีเทลกระเป๋าข้างเพื่อการใช้งานที่สะดวก

วัสดุ: ผ้าโพลีเอสเตอร์ผสมคอตตอน ให้สัมผัสเบาและไม่ยับง่าย

สี: ช็อกโกแลต

ทรง: ทรงหลวม (Relaxed Fit) ขากว้าง

เอว: เอวปกติพร้อมกระดุมและซิป

ดีเทล: กระเป๋าข้าง 2 ข้าง / กระเป๋าหลัง 1 ใบ

สไตล์: เรียบหรู ทันสมัย ใส่ง่ายทุกวัน

เหมาะสำหรับ: ใส่เที่ยว เดินเล่น ทำงาน หรือสไตล์ Smart Casual

คำแนะนำในการดูแล: ซักเครื่องในน้ำเย็น หลีกเลี่ยงการใช้สารฟอกขาว และควรรีดด้วยไฟอ่อน","URBAN CLASSICS Wide-Leg Relaxed Trousers – Chocolate

Enhance your wardrobe with these relaxed-fit, wide-leg trousers from URBAN CLASSICS. The luxurious chocolate color adds warmth and sophistication, making them versatile for various outfits. Featuring a comfortable wide-leg cut and practical side pockets, these trousers are perfect for both casual and semi-formal occasions.

Material: Polyester-cotton blend – lightweight and wrinkle-resistant

Color: Chocolate

Fit: Relaxed fit with wide legs

Waist: Regular waistband with button and zip closure

Details: Two side pockets / One back pocket

Style: Elegant, modern, and everyday-friendly

Ideal for: Casual outings, city walks, office wear, or smart casual looks

Care Instructions: Machine wash cold. Do not bleach. Iron on low heat if necessary.","{""product_name"": ""URBAN CLASSICS Wide-Leg Relaxed Trousers – Chocolate"", ""brand"": ""URBAN CLASSICS"", ""category"": ""Men's Clothing"", ""type"": ""Pants"", ""pants_type"": ""Trousers"", ""style"": ""Elegant"", ""color"": ""Chocolate"", ""material"": ""Polyester-cotton blend"", ""features"": {""fit"": ""Relaxed fit"", ""leg_style"": ""Wide-leg"", ""waist"": ""Regular waistband with button and zip closure"", ""pockets"": {""side"": 2, ""back"": 1}, ""wrinkle_resistant"": true, ""lightweight"": true}, ""ideal_for"": [""Office wear"", ""City walks"", ""Casual outings"", ""Smart casual occasions""], ""care_instructions"": [""Machine wash cold"", ""Do not bleach"", ""Iron on low heat if necessary""], ""description"": ""URBAN CLASSICS Wide-Leg Relaxed Trousers in Chocolate offer a luxurious and versatile option for everyday wear, featuring a comfortable fit and elegant style.""}",Pants,5
URBAN WEAR Minimalist Wide-Leg Pants – Beige,https://drive.google.com/uc?export=download&id=16wefht4w8rcrI7dDOwXIrdg_9-Qhlmm7,"กางเกงทรงขากว้าง สีเบจ สไตล์มินิมอล จาก URBAN WEAR

กางเกงขายาวทรงขากว้างที่ออกแบบมาเพื่อความสบายและความทันสมัย ด้วยโทนสีเบจที่สามารถจับคู่กับเสื้อผ้าได้หลากหลายสไตล์ ไม่ว่าจะเป็นทางการหรือลำลอง ตัวกางเกงมีเอวแบบกระดุมและซิปเพื่อความกระชับพอดี และมีกระเป๋าข้างสำหรับการใช้งานที่สะดวก

วัสดุ: ผ้าคอตตอนผสมโพลีเอสเตอร์ ให้สัมผัสนุ่มและระบายอากาศได้ดี

สี: เบจ

ทรง: ทรงขากว้าง (Wide-Leg Fit)

เอว: กระดุมและซิป

ดีเทล: กระเป๋าข้าง 2 ข้าง

สไตล์: มินิมอล เรียบง่าย ใส่ง่ายทุกวัน

เหมาะสำหรับ: ใส่ทำงาน เดินเล่น หรือสไตล์ Smart Casual

คำแนะนำในการดูแล: ซักเครื่องในน้ำเย็น หลีกเลี่ยงการใช้สารฟอกขาว และควรรีดด้วยไฟอ่อน","URBAN WEAR Minimalist Wide-Leg Pants – Beige

Enhance your modern wardrobe with these wide-leg pants from URBAN WEAR. The beige color provides versatility, making it easy to pair with various styles, whether formal or casual. Featuring a button and zip closure for a snug fit, along with practical side pockets for convenience.

Material: Cotton-polyester blend – soft and breathable

Color: Beige

Fit: Wide-leg fit

Waist: Button and zip closure

Details: Two side pockets

Style: Minimalist, easy-to-match, and everyday-friendly

Ideal for: Office wear, city walks, or smart casual occasions

Care Instructions: Machine wash cold. Do not bleach. Iron on low heat if necessary.","{""product_name"": ""URBAN WEAR Minimalist Wide-Leg Pants – Beige"", ""brand"": ""URBAN WEAR"", ""category"": ""Men's Clothing"", ""type"": ""Pants"", ""pants_type"": ""Trousers"", ""style"": ""Minimalist"", ""color"": ""Beige"", ""material"": ""Cotton-polyester blend"", ""features"": {""fit"": ""Wide-leg fit"", ""leg_style"": ""Wide-leg"", ""waist"": ""Button and zip closure"", ""pockets"": {""side"": 2, ""back"": 0}, ""wrinkle_resistant"": false, ""lightweight"": true}, ""ideal_for"": [""Office wear"", ""City walks"", ""Smart casual occasions""], ""care_instructions"": [""Machine wash cold"", ""Do not bleach"", ""Iron on low heat if necessary""], ""description"": ""URBAN WEAR Minimalist Wide-Leg Pants in beige, offering a modern and versatile look with a comfortable fit.""}",Pants,6
URBAN STYLE Casual Loose Fit Shorts – Beige,https://drive.google.com/uc?export=download&id=18RrOUk6HPYYinJk_GKhD89Ir8ck0wzl2,"กางเกงขาสั้นทรงหลวม สีเบจ สไตล์ลำลอง จาก URBAN STYLE

กางเกงขาสั้นทรงหลวมที่ออกแบบมาเพื่อความสบายในการสวมใส่ ด้วยโทนสีเบจที่เรียบง่ายและคลาสสิก สามารถจับคู่กับเสื้อได้หลากหลายสไตล์ ตัวกางเกงมีดีเทลกระเป๋าข้างที่ใช้งานได้จริง เหมาะสำหรับสวมใส่ในวันหยุดพักผ่อนหรือกิจกรรมกลางแจ้ง

วัสดุ: ผ้าคอตตอน ให้สัมผัสนุ่มสบาย

สี: เบจ

ทรง: ทรงหลวม (Relaxed Fit)

เอว: เอวปกติ พร้อมกระดุมและซิป

ดีเทล: กระเป๋าข้าง 2 ข้าง

สไตล์: ลำลอง เรียบง่าย

เหมาะสำหรับ: ใส่เที่ยวพักผ่อน กิจกรรมกลางแจ้ง หรือวันหยุดสบายๆ

คำแนะนำในการดูแล: ซักเครื่องในน้ำเย็น หลีกเลี่ยงการใช้สารฟอกขาว และควรรีดด้วยไฟอ่อน","URBAN STYLE Casual Loose Fit Shorts – Beige

Enhance your casual wardrobe with these relaxed-fit shorts from URBAN STYLE. Crafted in a classic beige tone, they offer versatility and comfort. The shorts feature practical side pockets, making them perfect for leisure days or outdoor activities.

Material: Cotton – soft and comfortable

Color: Beige

Fit: Relaxed fit

Waist: Regular waist with button and zip closure

Details: Two side pockets

Style: Casual, simple

Ideal for: Leisure outings, outdoor activities, or relaxed weekends

Care Instructions: Machine wash cold. Do not bleach. Iron on low heat if necessary.","{""product_name"": ""URBAN STYLE Casual Loose Fit Shorts – Beige"", ""brand"": ""URBAN STYLE"", ""category"": ""Men's Clothing"", ""type"": ""Pants"", ""pants_type"": ""Shorts"", ""style"": ""Casual"", ""color"": ""Beige"", ""material"": ""Cotton"", ""features"": {""fit"": ""Relaxed fit"", ""leg_style"": ""Shorts"", ""waist"": ""Button and zip closure"", ""pockets"": {""side"": 2, ""back"": 0}, ""wrinkle_resistant"": false, ""lightweight"": true}, ""ideal_for"": [""Leisure outings"", ""Outdoor activities"", ""Relaxed weekends""], ""care_instructions"": [""Machine wash cold"", ""Do not bleach"", ""Iron on low heat if necessary""], ""description"": ""URBAN STYLE Casual Loose Fit Shorts in Beige, perfect for leisure and outdoor activities with a comfortable relaxed fit.""}",Pants,7
Casual Relaxed-Fit Shorts – Beige,https://drive.google.com/uc?export=download&id=1fNHiq60TgXKc-BMzIw3M9iSTjedv399I,"กางเกงขาสั้นทรงหลวม สีเบจ สไตล์ลำลอง

กางเกงขาสั้นทรงหลวมที่ออกแบบมาเพื่อความสบายในการสวมใส่ ด้วยสีเบจที่เรียบง่ายและทันสมัย เหมาะสำหรับการสวมใส่ในวันหยุดหรือกิจกรรมกลางแจ้ง ตัวกางเกงมีเอวยางยืดและกระเป๋าข้างสองข้างเพื่อความสะดวกในการใช้งาน

วัสดุ: ผ้าฝ้ายผสมโพลีเอสเตอร์ ให้สัมผัสนุ่มและระบายอากาศได้ดี

สี: เบจ

ทรง: ทรงหลวม (Relaxed Fit) ขาสั้น

เอว: เอวยางยืด เพิ่มความยืดหยุ่น

ดีเทล: กระเป๋าข้าง 2 ข้าง

สไตล์: ลำลอง ใส่ง่ายทุกวัน

เหมาะสำหรับ: ใส่เที่ยวพักผ่อนหรือกิจกรรมกลางแจ้ง

คำแนะนำในการดูแล: ซักเครื่องในน้ำเย็น หลีกเลี่ยงการใช้สารฟอกขาว และควรรีดด้วยไฟอ่อน","Casual Relaxed-Fit Shorts – Beige

These relaxed-fit shorts are designed for comfort and ease. The simple and modern beige color makes them perfect for holidays or outdoor activities. Featuring an elastic waistband and two side pockets for added convenience.

Material: Cotton-polyester blend – soft and breathable

Color: Beige

Fit: Relaxed fit with short legs

Waist: Elastic waistband for added flexibility

Details: Two side pockets

Style: Casual and easy-to-wear

Ideal for: Leisure outings or outdoor activities

Care Instructions: Machine wash cold. Do not bleach. Iron on low heat if necessary.","{""product_name"": ""Casual Relaxed-Fit Shorts – Beige"", ""brand"": ""Generic Brand"", ""category"": ""Men's Clothing"", ""type"": ""Pants"", ""pants_type"": ""Shorts"", ""style"": ""Casual"", ""color"": ""Beige"", ""material"": ""Cotton-polyester blend"", ""features"": {""fit"": ""Relaxed fit"", ""leg_style"": ""Short"", ""waist"": ""Elastic waistband"", ""pockets"": {""side"": 2, ""back"": 0}, ""wrinkle_resistant"": false, ""lightweight"": true}, ""ideal_for"": [""Leisure outings"", ""Outdoor activities""], ""care_instructions"": [""Machine wash cold"", ""Do not bleach"", ""Iron on low heat if necessary""], ""description"": ""These relaxed-fit shorts are designed for comfort and ease, featuring a simple and modern beige color, perfect for holidays or outdoor activities.""}",Pants,8
URBAN EDGE Wide-Leg Vintage Black Jeans,https://drive.google.com/uc?export=download&id=1A2Z-TeBhkLtsfh4pQAKVurZ3gVQh0bj3,"กางเกงยีนส์ทรงขากว้าง สีดำวินเทจ สไตล์สตรีท จาก URBAN EDGE

กางเกงยีนส์ทรงขากว้างที่ออกแบบมาเพื่อความสบายและสไตล์ที่โดดเด่น โทนสีดำวินเทจเพิ่มความเท่และสามารถจับคู่กับเสื้อได้หลากหลาย ตัวกางเกงมีทรงขากว้างช่วยเพิ่มความโปร่งสบายขณะสวมใส่ พร้อมกระเป๋าข้างและกระเป๋าหลังเพื่อความสะดวกในการใช้งาน

วัสดุ: ผ้าเดนิมคุณภาพสูง ทนทานและมีสไตล์

สี: ดำวินเทจ

ทรง: ทรงขากว้าง (Wide-leg Fit)

เอว: เอวปกติ พร้อมกระดุมและซิป

ดีเทล: กระเป๋าข้าง 2 ข้าง / กระเป๋าหลัง 2 ใบ

สไตล์: สตรีท แฟชั่นทันสมัย

เหมาะสำหรับ: ใส่เที่ยว เดินเล่น หรือออกงานสไตล์ลำลอง

คำแนะนำในการดูแล: ซักเครื่องในน้ำเย็น หลีกเลี่ยงการใช้สารฟอกขาว และควรตากในที่ร่ม","URBAN EDGE Wide-Leg Vintage Black Jeans – Street Style

Step up your fashion game with these wide-leg jeans from URBAN EDGE. Designed for comfort and a standout style, the vintage black color adds a cool edge and pairs easily with various tops. Featuring a wide-leg cut for added comfort and practical side and back pockets for convenience.

Material: High-quality denim – durable and stylish

Color: Vintage black

Fit: Wide-leg fit

Waist: Standard waist with button and zip closure

Details: Two side pockets / Two back pockets

Style: Street, modern fashion

Ideal for: Casual outings, city walks, or laid-back events

Care Instructions: Machine wash cold. Avoid bleach. Hang to dry in the shade.","{""product_name"": ""URBAN EDGE Wide-Leg Vintage Black Jeans"", ""brand"": ""URBAN EDGE"", ""category"": ""Men's Clothing"", ""type"": ""Pants"", ""pants_type"": ""Jeans"", ""style"": ""Street"", ""color"": ""Vintage Black"", ""material"": ""High-quality denim"", ""features"": {""fit"": ""Wide-leg fit"", ""leg_style"": ""Wide-leg"", ""waist"": ""Button and zip closure"", ""pockets"": {""side"": 2, ""back"": 2}, ""wrinkle_resistant"": false, ""lightweight"": false}, ""ideal_for"": [""Casual outings"", ""City walks"", ""Laid-back events""], ""care_instructions"": [""Machine wash cold"", ""Avoid bleach"", ""Hang to dry in the shade""], ""description"": ""URBAN EDGE Wide-Leg Vintage Black Jeans with street style, featuring a wide-leg fit and practical pockets for casual outings.""}",Pants,9
